Region,Year,label,poultry_density,max_temp_q1,max_temp_q2,max_temp_q3,max_temp_q4,min_temp_q1,min_temp_q2,min_temp_q3,min_temp_q4,mean_temp_q1,mean_temp_q2,mean_temp_q3,mean_temp_q4,total_rain_q1,total_rain_q2,total_rain_q3,total_rain_q4,Loading,Unloading,Pop_total,F_TOTAL,F_Y_15-64,F_Y_GE65,F_Y_LT15,GDP_Annual,M_TOTAL,M_Y_GE65,M_Y_LT15,M_Y15-64,ndvi_q1,ndvi_q2,ndvi_q3,ndvi_q4,ndwi_q1,ndwi_q2,ndwi_q3,ndwi_q4,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,lai_hv_q1,lai_hv_q2,lai_lv_q1,lai_lv_q2
DE137,2021,0,12208,7.528571289,13.36677399,22.85899973,19.65999963,-4.540322529,-2.166128976,9.980644926,-1.150333322,0.702534558,5.336702362,15.85802121,7.791953252,198.4000032,199.8000002,405.8000053,101.7000015,4833,5410,141682,70353,44098,15426,10638,6448.63,70847,12417,11168,47530,0.358,0.695,0.763,0.606,0.1475,0.284444444,0.314166667,0.2075,10.89531799,6.946030279,28.40949663,593.8691481,22.9,-1.549677403,24.4496774,16.71266655,10.44097658,18.58401061,4.134560847,905.7000102,189.1000039,15.00000014,68.34827052,450.8000051,101.7000015,405.8000053,176.100003,1.6024475,2.357859267,2.5933228,2.9267273
DE215,2021,0,32503,7.141428371,14.48403189,23.61816633,19.3879996,-4.913225765,-1.920806426,10.99370923,-0.328666676,0.221394042,5.730612792,16.6962684,8.33779192,183.7500016,281.5000033,611.0500048,183.8500056,2950,3167,106327,54007,32984,14337,6637,3632.09,52153,10927,7116,34227,0.37,0.678,0.748,0.599,0.200833333,0.218888889,0.325,0.203333333,11.01680002,6.540566461,26.83043016,647.3131769,22.47,-1.907419305,24.3774193,19.3923007,7.012293589,19.3923007,3.813772399,1260.150015,267.0500027,32.8000004,72.68204905,611.0500048,165.2500028,611.0500048,233.0000045,2.629384367,3.343312567,1.7394714,2.0800476
DE227,2021,0,54043,6.743571343,16.26032237,25.8979996,21.6496664,-3.472903177,-0.066129037,12.43096761,0.69433333,1.216255763,7.453386943,18.26076681,8.971885161,160.9000009,171.5000004,380.0000046,79.50000074,9249,9099,161191,79672,51395,16535,11483,6297.2,80913,13900,12404,54934,0.342,0.672,0.723,0.579,0.196666667,0.170277778,0.264166667,0.123888889,12.31195346,6.672759581,25.82788701,669.7735116,25.26,-0.575483861,25.83548386,19.39575958,8.327187,20.8753834,4.89313978,791.9000066,137.2000011,12.5000003,72.52046098,388.3000033,70.90000014,380.0000046,169.8000013,1.032307933,1.647857667,0.9713745,0.99368286
DE231,2021,0,31393,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,1698,2274,42052,21295,12841,5863,2553,2777.67,20816,4148,2688,13910,0.3,0.637,0.68,0.539,0.154166667,0.172777778,0.281666667,0.113055556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.256856267,1.897054033,2.541504,2.5681763
DE243,2021,0,6513,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,1634,1601,40842,20959,12938,5625,2384,4057.82,20042,4124,2477,13266,0.312,0.623,0.668,0.534,0.2,0.137777778,0.206666667,0.1175,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
DE24D,2021,0,6513,3.406071408,13.55467703,23.33466613,18.98183295,-4.852856981,-1.379193548,10.409516,0.666166649,-0.786242295,5.297096707,16.30341197,7.848994449,170.3500021,163.6000015,335.2000055,104.6500004,2506,2836,71974,36776,21850,10838,4164,2536.45,35446,8267,4538,22405,0.455,0.692,0.7,0.616,0.204166667,0.170833333,0.22,0.105833333,10.51436576,6.6971011,26.83757888,653.6700007,23.189999,-1.764193516,24.95419252,18.76420582,10.30949701,18.76420582,3.207712019,773.8000095,127.0000015,20.6000001,56.45579369,335.2000055,104.6500004,335.2000055,170.3500021,1.208129867,1.848419167,1.9443054,2.0008545
DE255,2021,0,15215,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,1004,1654,41056,20883,12980,5089,2837,1518.8,20068,3833,3022,13310,0.315,0.513,0.588,0.472,0.216666667,0.153888889,0.1825,0.120833333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
DE263,2021,0,5995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,4185,4127,126954,66229,44194,15262,6712,8466.67,61131,10498,6941,43215,0.313,0.547,0.573,0.478,0.138333333,0.188611111,0.128333333,0.068333333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.2983907,1.857350667,2.751892,2.9750977
DE26A,2021,0,5995,6.160535486,15.72596729,25.29883277,21.4981662,-3.334285608,-0.520645152,11.41677394,1.718999991,1.525503043,7.093931745,17.63355524,9.137539192,219.2500016,151.9000021,291.9500027,107.8500009,6287,5589,125976,63213,38987,16310,7809,4752.86,62951,13454,8225,40854,0.365,0.708,0.775,0.616,0.191666667,0.221666667,0.230833333,0.129166667,11.97214932,6.249034029,25.78670771,602.1933196,24.824999,0.591451625,24.23354738,18.11451922,11.82876943,19.83677745,5.424418021,770.9500073,108.1000012,22.80000032,45.11503531,292.2500032,107.8500009,291.9500027,219.2500016,1.355672233,2.091918933,2.8052979,3.0251465
DE274,2021,0,21193,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,3178,2708,44360,22364,13798,5516,2994,2687.43,21892,4122,3114,14689,0.355,0.682,0.743,0.593,0.289166667,0.295277778,0.28,0.258055556,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.3718567,2.6741028,2.7880554,2.8396301
